 id | tokenable_type  |             tokenable_id             |   name    | abilities |    last_used_at     | expires_at |     created_at      
----+-----------------+--------------------------------------+-----------+-----------+---------------------+------------+---------------------
 28 | App\Models\User | 019e319f-9de5-707b-aaaa-975130afa4cb | api-token | ["*"]     |                     |            | 2026-05-16 16:30:04
 26 | App\Models\User | 019e3185-81c4-70c6-b9c0-29405d7757a3 | api-token | ["*"]     | 2026-05-16 16:05:10 |            | 2026-05-16 16:05:03
 27 | App\Models\User | 019e3185-81c4-70c6-b9c0-29405d7757a3 | api-token | ["*"]     | 2026-05-16 16:05:17 |            | 2026-05-16 16:05:03
 24 | App\Models\User | 019e3185-81c4-70c6-b9c0-29405d7757a3 | api-token | ["*"]     |                     |            | 2026-05-16 16:01:33
 23 | App\Models\User | 019e2d1f-5df8-7220-9bf9-332dbac238ae | api-token | ["*"]     | 2026-05-16 13:34:05 |            | 2026-05-16 13:32:37
 22 | App\Models\User | 019e2d1f-5df8-7220-9bf9-332dbac238ae | api-token | ["*"]     | 2026-05-16 13:29:20 |            | 2026-05-16 13:19:04
 21 | App\Models\User | 019e2d1f-5df8-7220-9bf9-332dbac238ae | api-token | ["*"]     | 2026-05-16 13:15:04 |            | 2026-05-16 13:15:00
 20 | App\Models\User | 019e2d1f-5df8-7220-9bf9-332dbac238ae | api-token | ["*"]     |                     |            | 2026-05-16 13:03:30
 19 | App\Models\User | 019e2d1f-5df8-7220-9bf9-332dbac238ae | api-token | ["*"]     | 2026-05-16 12:48:25 |            | 2026-05-16 12:48:19
 18 | App\Models\User | 019e2d1f-5df8-7220-9bf9-332dbac238ae | api-token | ["*"]     |                     |            | 2026-05-16 02:36:46
 17 | App\Models\User | 019e2d1f-5df8-7220-9bf9-332dbac238ae | api-token | ["*"]     |                     |            | 2026-05-16 02:35:31
 16 | App\Models\User | 019e2d1f-5df8-7220-9bf9-332dbac238ae | api-token | ["*"]     |                     |            | 2026-05-16 01:47:49
 15 | App\Models\User | 019e2d1f-5df8-7220-9bf9-332dbac238ae | api-token | ["*"]     |                     |            | 2026-05-16 01:46:00
 14 | App\Models\User | 019e2d1f-5df8-7220-9bf9-332dbac238ae | api-token | ["*"]     | 2026-05-16 13:35:25 |            | 2026-05-16 01:32:25
 13 | App\Models\User | 019e2d1f-5df8-7220-9bf9-332dbac238ae | api-token | ["*"]     | 2026-05-16 01:22:40 |            | 2026-05-16 01:22:40
 12 | App\Models\User | 019e2d1f-5df8-7220-9bf9-332dbac238ae | api-token | ["*"]     | 2026-05-16 01:19:24 |            | 2026-05-16 01:19:24
 11 | App\Models\User | 019e2d1f-5df8-7220-9bf9-332dbac238ae | api-token | ["*"]     |                     |            | 2026-05-16 01:17:45
 10 | App\Models\User | 019e2d1f-5df8-7220-9bf9-332dbac238ae | api-token | ["*"]     |                     |            | 2026-05-16 01:05:56
  9 | App\Models\User | 019e2d1f-5df8-7220-9bf9-332dbac238ae | api-token | ["*"]     |                     |            | 2026-05-16 01:05:13
  8 | App\Models\User | 019e2d1f-5df8-7220-9bf9-332dbac238ae | api-token | ["*"]     | 2026-05-16 01:02:01 |            | 2026-05-16 01:02:01
(20 rows)

